UUID,Title,Shortname,Website Link,Citation,API service,Description,Type,Programmatic Access,Notes,Relationships to other tools,Tags,POC,Timestamp
d0f4a7ce-9732-40e9-8aac-30d816756bc0,"NASA 
Space Physics Data Facility (SPDF)",spft,https://spdf.gsfc.nasa.gov/,,,"Space Physics Data Facility (SPDF) is the NASA active and permanent archive for non-solar heliophysics data (solar data at SDAC), per the NASA Heliophysics Science Data Management Policy. SPDF is a project of the Heliophysics Science Division (HSD) at NASA's Goddard Space Flight Center. SPDF also provides multi-project, cross-disciplinary access to data to enable correlative and collaborative research across discipline and mission boundaries with present and past missions. SPDF maintains the SSCweb database of spacecraft orbits, the OMNIweb cross-normalized database, and the Common Data Format (CDF) self-describing science data format and associated software. ",database,yes,"A database compiling many observing platforms
",Relationship to CDAWeb and OMNIWeb?,,,"Fri, 11 Feb 2022 14:04:02 GMT"
5ed71d7c-d4b6-4a05-8efd-20607b45b256,NASA OMNIWeb,omniweb,https://omniweb.gsfc.nasa.gov/,,,"An interface built in 2008 to provide a more integrated interface to the many plasma, magnetic field and energetic particle data sets relevant to heliospheric studies and resident at Goddard's Space Physics Data Facility. It delivers users to underlying interfaces (OMNIWeb, COHOWeb, FTPBrowser, CDAWeb, Helioweb, spdf/ftp) offering various functionalities for various data sets",database,through nano,"A database compiling many observing platforms
",Visualization web service for solar wind SPDF data,,,"Fri, 11 Feb 2022 14:04:01 GMT"
ecb85a68-c795-4129-bdc2-c409dbda0412,NASA Coordinated Data Analysis Web (CDAWeb),cdaweb,https://cdaweb.gsfc.nasa.gov/index.html/,,,"The NASA/GSFC Space Physics Data Facility (SPDF) bring you a new, World-Wide-Web-based system for viewing essentially ANY data produced in Common Data Format/CDF with the ISTP/IACG Guidelines. CDAWeb, the Coordinated Data Analysis (Workshop) Web, supports interactive plotting of variables from multiple instruments on multiple investigations simultaneously on arbitrary, user-defined time-scales. It also supports data retrieval in both CDF or ASCII format. ",database,,"A database compiling many observing platforms

Programmatic access (through SPEDAS, pySPEDAS, pysatNASA, SunPy)",Visualization web service for virtually any SPDF data,,,"Fri, 11 Feb 2022 13:52:23 GMT"
d0432e32-c248-420f-ba79-aa5ec86dc48d,Super Magnetometer Initiative,super_magnetometer,https://supermag.jhuapl.edu/,,Details here: https://supermag.jhuapl.edu/mag/?fidelity=low&tab=api&start=2001-01-30T05%3A00%3A00.000Z&interval=23%3A59,"SuperMAG is a worldwide collaboration of organizations and national agencies that currently operate more than 300 ground based magnetometers. SuperMAG provides easy access to validated ground magnetic field perturbations in the same coordinate system, identical time resolution and with a common baseline removal approach. ",,,Programmatic access (through Python client: https://supermag.jhuapl.edu/mag/?tab=api&fidelity=low&start=2001-01-01T00%3A00%3A00.000Z&interval=23%3A59#pythonClientDocumentationSection),,,,"Fri, 04 Feb 2022 17:07:20 GMT"
08d4c604-fb54-450d-87a2-ca1229cbc37a,Super Dual Auroral Radar Network (SuperDARN),superdarn,http://vt.superdarn.org/tiki-index.php,,,"SuperDARN stands for Super Dual Auroral Radar Network. The network consists of more than 30 low-power HF radars that look into Earth's upper atmosphere beginning at mid-latitudes and extending into the polar regions. The radars operate continuously and observe the motion of charged particles (plasma) in the ionosphere and other effects that provide scientists with information on Earth's space environment. The knowledge gained from this work provides insight into space weather hazards including radiation exposure for high-altitude travelers and disruptions to communication networks, navigation systems (GPS), and electrical power grids.

The SuperDARN Research Group at Virginia Tech (VT) collaborates with an international community of scientists and engineers to operate radars and share data. The VT Group operates five radars. For a summary of the radars and their affiliations, visit the Radar Maps/Tables/Links web page. ",,,No programmatic access,,,,"Fri, 04 Feb 2022 17:07:20 GMT"
3279365f-e9d1-47fe-a630-7404ca87cc59,AMPERE,ampere,http://ampere.jhuapl.edu/,,,"AMPERE magnetic perturbation data and data products derived from the Iridium constellation are 
provided via the AMPERE Science Data Center to the scientific community for basic research in space 
weather and magnetosphere-ionosphere physics.",,,No programmatic access,,,,"Fri, 04 Feb 2022 17:07:21 GMT"
f17fe315-f2cb-48f5-8d42-bf6fa7306bc6,Swarm VirES (Virtual environments for Earth observation Scientists),swarm_vires,https://vires.services/,,,VirES for Swarm is a highly interactive data manipulation and retrieval interface for the ESA Swarm constellation mission products. It includes tools for studying various geomagnetic models by comparing them to the Swarm satellite measurements at given space weather and ionospheric conditions. ,,,"Built for time series

Intended for event-based analyses (not large-scale data analyses) - is this correct?

What are the components of VirES? The web server; viresclient (Python interface); JupyterBook (instructional/educational resources?)",,,,"Fri, 04 Feb 2022 17:07:21 GMT"
ebee087f-f2f4-4c84-95d9-674f2c70346f,Swarm VirES Virtual Research Environment,swarm_vires_vre,https://swarm.magneticearth.org/docs/vre-overview.html,,,"The VRE is a cloud service based on Jupyter technology to lower the barrier to entry for researchers to use Swarm products. We provide the hardware and the software stack so that you can start programming immediately without configuring anything on your computer. Data and software are stored and executed in the cloud.

The VRE is an extension of VirES (Virtual environments for Earth observation Scientists) - a server system and a graphical web interface to allow easy visualisation and manipulation of Swarm products (both data and geomagnetic models). With the VRE you are now able to bring the Jupyter & Python ecosystem to data retrieved via VirES.",,,"Do research with the swarm viresclient tool (viresclient is a Python package which connects to a VirES server through the WPS interface and handles product requests and downloads. This enables easy access to ESA’s Swarm mission data and models. This service is provided for ESA by EOX. )

an extension of VirES (Virtual environments for Earth observation Scientists)

Programmatic access (through viresclient)
","The VRE is an extension of VirES (Virtual environments for Earth observation Scientists) - a server system and a graphical web interface to allow easy visualisation and manipulation of Swarm products (both data and geomagnetic models). With the VRE you are now able to bring the Jupyter & Python ecosystem to data retrieved via VirES.

Accessed through viresclient

Provides access to the eoPortal: https://eoportal.org/web/eoportal/home",,,"Fri, 04 Feb 2022 17:07:22 GMT"
56840c97-8d84-4e97-99dd-d735f40e9e05,Swarm viresclient,swarm_vires_client,https://viresclient.readthedocs.io/en/latest/readme.html,,,viresclient is a Python package which connects to a VirES server through the WPS interface and handles product requests and downloads. This enables easy access to ESA’s Swarm mission data and models.,Access tool,,,,,,"Fri, 11 Feb 2022 13:52:39 GMT"
820e4cbd-b6d4-49c0-9fe5-2ddcc061004c,Swarm Aurora,swarm_aurora,https://swarm-aurora.com/,,,"The Swarm-Aurora project was designed to facilitated and drive the use of Swarm in auroral science and push Swarm beyond its primary mission objective to become a key instrument in auroral science research. The primary objective of Swarm-Aurora is to build a bridge between Swarm data, the Swarm science community, and optical images of the aurora collected primarily by ground-based All-Sky Imagers (ASIs).
",,,,,,,"Fri, 04 Feb 2022 17:07:24 GMT"
be39f14b-0e5a-4b49-86fd-90dddfe94fd1,AuroraX,auroraX,https://aurorax.space/,,,Auroral data and tools for researchers and citizen scientists,,,,,,,"Fri, 04 Feb 2022 17:07:24 GMT"
f2d96139-189f-4054-be3e-36a4e02872fc,HAPI,HAPI,http://hapi-server.org/,,,"The Heliophysics Data Application Programmer’s Interface (HAPI) specification provides a common framework being adopted by many data providers across heliophysics. The aim is to ease sharing of data between different services and support an interoperable ecosystem. All components are developed openly on GitHub where you will find client software in various languages (MATLAB, Java, IDL etc.) to access data from HAPI servers.",access tool,,"Purpose is to provide an access layer to many data sets at NASA

",,,,"Fri, 11 Feb 2022 13:52:55 GMT"
ed266a86-103c-4318-94e9-ed2e6ffff30b,Madrigal Database,madrigal,http://millstonehill.haystack.mit.edu/,,,"Madrigal is an upper atmospheric science database used by groups throughout the world. Madrigal is a robust, World Wide Web based system capable of managing and serving archival and real-time data, in a variety of formats, from a wide range of upper atmospheric science instruments. Data at each Madrigal site is locally controlled and can be updated at any time, but shared metadata between Madrigal sites allow searching of all Madrigal sites at once from any Madrigal site.",database,,"A database compiling many observing platforms

Programmatic access (through MadrigalWeb and pysatMadrigal)",,,,"Fri, 11 Feb 2022 13:52:53 GMT"
7f6d1321-9f19-47ab-83c7-ee6b9ad41a01,"Svalbard Integrated Arctic Earth Observational System (SIOS)
",sios,https://sios-svalbard.org/,,,An international observing system for long-term measurements in and around the Norwegian archipelago of Svalbard addressing Earth System Science questions ,,,Focused specifically on Svalbard region,,,,"Fri, 04 Feb 2022 17:07:26 GMT"
7e51b674-5ea3-4b37-ba93-92898d093afd,"
REproducable Software ENvironment (Resen)",resen,https://ingeo.datatransport.org/home/resen,,,"Tackles the problem of reproducible research code. It helps users create portable ""buckets"" containing the development environment, analysis code, and data (using Docker & JupyterLab). Resen comes pre-installed with community-developed software.",access tool,,,,,Asti Bhatt,"Fri, 11 Feb 2022 13:53:01 GMT"
36e92a8d-1ebf-4fe1-a1a7-4ec9f40d4ff8,HSO Connect Data and Modeling Resources Portal,hso_connect,hsoconnect.hpde.gsfc.nasa.gov,,,Amr Alshatnawi summer 2021 GSFC internship project; Barbara Thompson the POC,portal,,Prototype ,,,Barbara Thompson,"Fri, 11 Feb 2022 13:53:13 GMT"
06933d1c-6908-440b-817c-bb80b8dbecfd,University of Colorado Boulder Space Weather Technology Research and Education Center (CU SpWx TREC) Data Portal,cu_spwx_trec,https://lasp.colorado.edu/space-weather-portal/home,,,"SWx TREC Space Weather Data Portal was deployed yesterday. The Space Weather Data Portal is a web application used to discover, display, download, save, and share a wide variety of space weather data, all on one screen. It includes data from NASA, NOAA, the USGS, and beyond.",portal,,,,,Jenny Knuth,"Fri, 11 Feb 2022 13:53:07 GMT"
7bd860cf-1e35-4e8d-9973-3e8b79250012,Laboratory for Atmospheric Physics (LASP) Data Portal,lasp,https://lasp.colorado.edu/home/mission-ops-data/data-systems/data-products/,,,,portal,,Programmatic Access (through pysatSpaceWeather),Used by the CU SpWx TREC,,,"Fri, 11 Feb 2022 13:53:18 GMT"
19d264b0-84f4-4cc0-85ff-51a09d21c91a,pySat,pysat,https://github.com/pysat/pysat/tree/main/pysat/,,,"The Python Satellite Data Analysis Toolkit (pysat) is a package providing a simple and flexible interface for downloading, loading, cleaning, managing, processing, and analyzing scientific measurements. Although pysat was initially designed for in situ satellite observations, it now supports many different types of ground- and space-based measurements.",access tool,,,Provides access to many of the databases and services in Heliophysics,,,"Fri, 11 Feb 2022 13:53:20 GMT"
2611ac23-0c52-4495-8010-3392f25ec53f,AMGeO,amgeo,https://amgeo.colorado.edu/home,,,"Collaborative data science tool for high-latitude geospace observations

 AMGeO is a collaborative data science platform for the geospace science community for bringing together a diverse set of heterogeneous geospace observations from NSF-funded facility programs and individual community users to obtain complete maps of high-latitude ionospheric electrodynamics for scientific discovery and space weather research. The platform is made of the AMGeO open-source software and web application services that facilitate the data acquisition and pre-processing steps that are otherwise prohibitively labor-intensive. It is developed at the University of Colorado Boulder by the AMGeO Team, with support from the NSF Earth Cube program. ",access tool,,"Currently AMGeO is capable of ingesting SuperDARN and SuperMAG data. In future AMGeO software releases, AMGeO will be able to use other types of data, such as Iridium magnetic fields provided by the AMPERE program","Provides access to SuperMAG and SuperDARN data and the Assimilative Mapping of Ionospheric Electrodynamics (AMIE) model

Dependencies: geospacepy-lite; OvationPyme; apexpy

Data Dependencies: availability of SuperDARN and SuperMAG data for the selected datetime",,,"Fri, 11 Feb 2022 13:53:29 GMT"
2093d23c-13b7-4d1e-9c54-a0893f926b66,geospacepy-lite,geospacepy_lite,https://geospacepy-lite.readthedocs.io/en/latest/,,,"Geospacepy-lite is a toolbox of loosely-related modules which were originally created for analyzing in-situ sensed electrodynamics and particle precipitation data from spacecraft, but are general-purpose enough to useful for various common geospace data analysis tasks.

The dependacies of the package are limited to the core scientific python packages like the standard library, numpy, and matplotlib.",,,,,,Liam Kilcommons,"Fri, 04 Feb 2022 17:09:02 GMT"
cd392bf5-fb37-4bf4-8dab-1ef38e176f2d,nasaomnireader,nasaomnireader,https://github.com/lkilcommons/nasaomnireader),,,The package automatically downloads data from the NASA OMNIWeb website,,,,Provides programmatic access to NASA OMNIWeb,,Liam Kilcommons,"Fri, 04 Feb 2022 17:09:11 GMT"
